#       time                  x1                  y1                  z1                  x2                  y2                  z2
 560.8312500    1.0507038230e-08    1.2964403245e-07    3.9700325996e-08    1.0507038230e-08    1.2964403245e-07    3.9700325996e-08
 560.8375000    1.0585448975e-08    1.3061152524e-07    3.9996597099e-08    1.0585448975e-08    1.3061152524e-07    3.9996597099e-08
 560.8437500    1.0663859719e-08    1.3157901804e-07    4.0292868202e-08    1.0663859719e-08    1.3157901804e-07    4.0292868202e-08
 560.8500000    1.0742270464e-08    1.3254651083e-07    4.0589139305e-08    1.0742270464e-08    1.3254651083e-07    4.0589139305e-08
 560.8562500    1.0820681209e-08    1.3351400362e-07    4.0885410409e-08    1.0820681209e-08    1.3351400362e-07    4.0885410409e-08
 560.8625000    1.0899091954e-08    1.3448149642e-07    4.1181681513e-08    1.0899091954e-08    1.3448149642e-07    4.1181681513e-08
 560.8687500    1.0977502700e-08    1.3544898921e-07    4.1477952617e-08    1.0977502700e-08    1.3544898921e-07    4.1477952617e-08
 560.8750000    1.1055913445e-08    1.3641648201e-07    4.1774223721e-08    1.1055913445e-08    1.3641648201e-07    4.1774223721e-08
 560.8812500    1.1134324191e-08    1.3738397480e-07    4.2070494825e-08    1.1134324191e-08    1.3738397480e-07    4.2070494825e-08
 560.8875000    1.1212734937e-08    1.3835146760e-07    4.2366765930e-08    1.1212734937e-08    1.3835146760e-07    4.2366765930e-08
 560.8937500    1.1291145683e-08    1.3931896040e-07    4.2663037035e-08    1.1291145683e-08    1.3931896040e-07    4.2663037035e-08
 560.9000000    1.1369556429e-08    1.4028645319e-07    4.2959308140e-08    1.1369556429e-08    1.4028645319e-07    4.2959308140e-08
 560.9062500    1.1447967175e-08    1.4125394599e-07    4.3255579245e-08    1.1447967175e-08    1.4125394599e-07    4.3255579245e-08
 560.9125000    1.1526377922e-08    1.4222143878e-07    4.3551850350e-08    1.1526377922e-08    1.4222143878e-07    4.3551850350e-08
 560.9187500    1.1604788668e-08    1.4318893158e-07    4.3848121456e-08    1.1604788668e-08    1.4318893158e-07    4.3848121456e-08
 560.9250000    1.1683199415e-08    1.4415642438e-07    4.4144392561e-08    1.1683199415e-08    1.4415642438e-07    4.4144392561e-08
 560.9312500    1.1761610162e-08    1.4512391717e-07    4.4440663667e-08    1.1761610162e-08    1.4512391717e-07    4.4440663667e-08
 560.9375000    1.1840020909e-08    1.4609140997e-07    4.4736934774e-08    1.1840020909e-08    1.4609140997e-07    4.4736934774e-08
 560.9437500    1.1918431657e-08    1.4705890277e-07    4.5033205880e-08    1.1918431657e-08    1.4705890277e-07    4.5033205880e-08
 560.9500000    1.1996842404e-08    1.4802639557e-07    4.5329476986e-08    1.1996842404e-08    1.4802639557e-07    4.5329476986e-08
 560.9562500    1.2075253152e-08    1.4899388837e-07    4.5625748093e-08    1.2075253152e-08    1.4899388837e-07    4.5625748093e-08
 560.9625000    1.2153663900e-08    1.4996138116e-07    4.5922019200e-08    1.2153663900e-08    1.4996138116e-07    4.5922019200e-08
 560.9687500    1.2232074648e-08    1.5092887396e-07    4.6218290307e-08    1.2232074648e-08    1.5092887396e-07    4.6218290307e-08
 560.9750000    1.2310485396e-08    1.5189636676e-07    4.6514561415e-08    1.2310485396e-08    1.5189636676e-07    4.6514561415e-08
 560.9812500    1.2388896144e-08    1.5286385956e-07    4.6810832522e-08    1.2388896144e-08    1.5286385956e-07    4.6810832522e-08
 560.9875000    1.2467306893e-08    1.5383135236e-07    4.7107103630e-08    1.2467306893e-08    1.5383135236e-07    4.7107103630e-08
 560.9937500    1.2545717642e-08    1.5479884516e-07    4.7403374738e-08    1.2545717642e-08    1.5479884516e-07    4.7403374738e-08
 561.0000000    1.2624128390e-08    1.5576633796e-07    4.7699645846e-08    1.2624128390e-08    1.5576633796e-07    4.7699645846e-08
 561.0062500    1.2702539140e-08    1.5673383076e-07    4.7995916954e-08    1.2702539140e-08    1.5673383076e-07    4.7995916954e-08
 561.0125000    1.2780949889e-08    1.5770132356e-07    4.8292188063e-08    1.2780949889e-08    1.5770132356e-07    4.8292188063e-08
 561.0187500    1.2859360638e-08    1.5866881636e-07    4.8588459172e-08    1.2859360638e-08    1.5866881636e-07    4.8588459172e-08
 561.0250000    1.2937771388e-08    1.5963630916e-07    4.8884730281e-08    1.2937771388e-08    1.5963630916e-07    4.8884730281e-08
 561.0312500    1.3016182137e-08    1.6060380196e-07    4.9181001390e-08    1.3016182137e-08    1.6060380196e-07    4.9181001390e-08
 561.0375000    1.3094592887e-08    1.6157129476e-07    4.9477272499e-08    1.3094592887e-08    1.6157129476e-07    4.9477272499e-08
 561.0437500    1.3173003637e-08    1.6253878756e-07    4.9773543609e-08    1.3173003637e-08    1.6253878756e-07    4.9773543609e-08
 561.0500000    1.3251414388e-08    1.6350628036e-07    5.0069814718e-08    1.3251414388e-08    1.6350628036e-07    5.0069814718e-08
 561.0562500    1.3329825138e-08    1.6447377316e-07    5.0366085828e-08    1.3329825138e-08    1.6447377316e-07    5.0366085828e-08
 561.0625000    1.3408235889e-08    1.6544126596e-07    5.0662356938e-08    1.3408235889e-08    1.6544126596e-07    5.0662356938e-08
 561.0687500    1.3486646639e-08    1.6640875876e-07    5.0958628049e-08    1.3486646639e-08    1.6640875876e-07    5.0958628049e-08
 561.0750000    1.3565057390e-08    1.6737625157e-07    5.1254899159e-08    1.3565057390e-08    1.6737625157e-07    5.1254899159e-08
 561.0812500    1.3643468141e-08    1.6834374437e-07    5.1551170270e-08    1.3643468141e-08    1.6834374437e-07    5.1551170270e-08
 561.0875000    1.3721878893e-08    1.6931123717e-07    5.1847441381e-08    1.3721878893e-08    1.6931123717e-07    5.1847441381e-08
 561.0937500    1.3800289644e-08    1.7027872997e-07    5.2143712492e-08    1.3800289644e-08    1.7027872997e-07    5.2143712492e-08
 561.1000000    1.3878700396e-08    1.7124622278e-07    5.2439983603e-08    1.3878700396e-08    1.7124622278e-07    5.2439983603e-08
 561.1062500    1.3957111147e-08    1.7221371558e-07    5.2736254715e-08    1.3957111147e-08    1.7221371558e-07    5.2736254715e-08
 561.1125000    1.4035521899e-08    1.7318120838e-07    5.3032525827e-08    1.4035521899e-08    1.7318120838e-07    5.3032525827e-08
 561.1187500    1.4113932651e-08    1.7414870119e-07    5.3328796939e-08    1.4113932651e-08    1.7414870119e-07    5.3328796939e-08
 561.1250000    1.4192343404e-08    1.7511619399e-07    5.3625068051e-08    1.4192343404e-08    1.7511619399e-07    5.3625068051e-08
 561.1312500    1.4270754156e-08    1.7608368679e-07    5.3921339163e-08    1.4270754156e-08    1.7608368679e-07    5.3921339163e-08
 561.1375000    1.4349164909e-08    1.7705117960e-07    5.4217610276e-08    1.4349164909e-08    1.7705117960e-07    5.4217610276e-08
 561.1437500    1.4427575661e-08    1.7801867240e-07    5.4513881388e-08    1.4427575661e-08    1.7801867240e-07    5.4513881388e-08
 561.1500000    1.4505986414e-08    1.7898616521e-07    5.4810152501e-08    1.4505986414e-08    1.7898616521e-07    5.4810152501e-08
 561.1562500    1.4584397167e-08    1.7995365801e-07    5.5106423614e-08    1.4584397167e-08    1.7995365801e-07    5.5106423614e-08
 561.1625000    1.4662807921e-08    1.8092115082e-07    5.5402694728e-08    1.4662807921e-08    1.8092115082e-07    5.5402694728e-08
 561.1687500    1.4741218674e-08    1.8188864362e-07    5.5698965841e-08    1.4741218674e-08    1.8188864362e-07    5.5698965841e-08
 561.1750000    1.4819629428e-08    1.8285613643e-07    5.5995236955e-08    1.4819629428e-08    1.8285613643e-07    5.5995236955e-08
 561.1812500    1.4898040182e-08    1.8382362923e-07    5.6291508069e-08    1.4898040182e-08    1.8382362923e-07    5.6291508069e-08
 561.1875000    1.4976450936e-08    1.8479112204e-07    5.6587779183e-08    1.4976450936e-08    1.8479112204e-07    5.6587779183e-08
 561.1937500    1.5054861690e-08    1.8575861485e-07    5.6884050297e-08    1.5054861690e-08    1.8575861485e-07    5.6884050297e-08
 561.2000000    1.5133272444e-08    1.8672610765e-07    5.7180321412e-08    1.5133272444e-08    1.8672610765e-07    5.7180321412e-08
 561.2062500    1.5211683198e-08    1.8769360046e-07    5.7476592527e-08    1.5211683198e-08    1.8769360046e-07    5.7476592527e-08
 561.2125000    1.5290093953e-08    1.8866109326e-07    5.7772863642e-08    1.5290093953e-08    1.8866109326e-07    5.7772863642e-08
 561.2187500    1.5368504708e-08    1.8962858607e-07    5.8069134757e-08    1.5368504708e-08    1.8962858607e-07    5.8069134757e-08
 561.2250000    1.5446915463e-08    1.9059607888e-07    5.8365405872e-08    1.5446915463e-08    1.9059607888e-07    5.8365405872e-08
